1 t,	@vanessaliang sorry
778 t,	so the rain cancelled my trip to CVS  ... stupid rain!
779 t,	WTF Ross!! Sort it out.....
780 t,	Found out one of my friend just passed away... How unexpected
781 t,	@GoldiaE sooo I was in NY for 3 whole days!! and I could NOT get a hold of u....
782 t,	@taylorswift13 will you ever be coming to liverpool? or london again? I coudn't get tickets to see you  - please. god bless. - from twins!
783 t,	@alishaannandale aww bless! haha. grrr i wanted takeaway but simon wants something healthy  oh wellllll.im so tired idk why xx
784 t,	2day is Anna's last day of work! I will miss my partner in crime!
785 t,	Hello everyone! I havent tweeted in a long time    twitterfon isnt working.
786 t,	Lola, I'm sorry I forgot about your death anniversary.
787 t,	Damn another hot ass day. I guess we gonna have a heat wave in the summertime.
788 t,	oh look at that! i was right (N) The dealine is waayyy over (N)  Fuck it ill do it anyways.. nothing else to do &gt;.&lt;
789 t,	trailer for Precious aka PUSH-the novel is verrrry depressing.    Its a giant FML in film
790 t,	@LEIGHSALES Yep! And a level of detail we could have quite happily lived without too
791 t,	is back from the brithday dinner...must have ate something bad....feeling sick!
792 t,	@teagan_ tonight is early to bed night mixed with some 'im so screwed photography wise' tears. bleh  u doing black d?
793 t,	Watched more Stargate today. What is it that makes this show so addictive? Why couldn't SG1 &amp; Atlantis last 20 years?
794 t,	Oh and not happy that yesterday my back tooth got chiped and it was hurting today whist eating
795 t,	@MiKuS_ Thanks but I ate. It wasn't great and now I feel nauseous.
796 t,	Didn't win download tickets  howarewe - 7/10 alright
797 t,	Doesnt want to leave his girlfriend behind when he goes to scotland
798 t,	@paulplatinum1 omgggg my favorite live is leaving meeee todayyy  damn I'm so goin to go thru with drawl
799 t,	Sigh just knocked my iomega external HD on the floor whilst it was spinning, its now make horrid noises
800 t,	I didn't have time to load my new cd on my ipod this morning.  I'm kinda bummed.
801 t,	I don't want to send my laptop away again  sniffle
802 t,	I am in disbelief that my baby is ONE today!  That was the fastest year yet.  Ugh, do they seriously only get faster?
803 t,	last day of school.  really really sad.
804 t,	.@ShaddyBabeBiTch oh!  do you still get to chat with him?
805 t,	i am so tired  final exam today!! it's the last one!!!
806 t,	I'm really sick of rain, it just started again! 5th day in a row now.
807 t,	Tyrell sadly died  always missed! http://apps.facebook.com/catbook/profile/view/1300501
808 t,	not too pleased with my paycheck....I needed it to be bigger this week
809 t,	#webDU is over  #webinale in Berlin next. Also: 3./4. Juni in Heidelberg - 2 days of AIR training. Interested? DM me!!!!
810 t,	Vsphere 4 is out! Now I just need some descent hardware to mess about on  (anyone have any servers going spare!?)
811 t,	I want chocolate.
812 t,	Hopes Everythings Sorted Now  Poor Adam, He Was Robbed!
813 t,	You'e going,so at least I might be able to get you off my mind
814 t,	is looking forward to chicago but sat that I wont see __ for a couple of days  saddddd
815 t,	@shermaineee I'd rather not go on a vacation if it's M'sia!!!!!!
816 t,	@Rosymeg Hey girl, sorry to hear your feeling a little low.  .  How can we cheer you up?!?
817 t,	@Hallie84 My 3 day weekend will be starting today at 5:30pm EST   I'm already on 3 day weekend mode...
818 t,	my twitterberry doesnt work
819 t,	OUCH! just sliced my finger on food processor blade.  ok, it's little, but still hurt! not an ideal start to a fri but we can work w/ it.
820 t,	What a headache...But I still have class today.
821 t,	Revisiting http://www.slide.com/ and love what can be done with it. Unfortunately schools blocking this free tool for use...
822 t,	Wonder why he didn't put a TP at EURUSD at 1.4000 and he is now outside
823 t,	mommy, i wanna share with you  i really need your advice
824 t,	@slackmistress I'm sad about not scared of clowns: as a child i had imaginary clown friends but they refused to perform for me  ... #fb
825 t,	apparently, eye shadow can go bad. oy...   I used a several years old one and now my eyelid is hurting. ouch...
826 t,	@powerofpop You have a weekend, I have to work tomorrow.
827 t,	@TheFifthDriver Oh no, that will be just soooooo sad   I hope they are ok
828 t,	@the_apostate oh you sweetie  sadly only one more follower so far
829 t,	Diggin' her new do. Boooored though.
830 t,	Mum's properly gutted that her big envelope of my card and loads of goodies hasn't arrived. I feel so bad for her
831 t,	Let it be known in all Twitterland;there is a city in Germany that i hate greatly:wuerselen.it cost me many an hour and hurt my bike
832 t,	Last school day with my broski
833 t,	goin to class. then home to the hud office then to my grams. &lt;3. i miss my kitters  but ill see him later!
834 t,	Think I will go to bed. So sick I can't even enjoy twitter.
835 t,	think im going to carry on reading for a bit to take my mind off stuff. mum did not take the news well at all  it really wont be so bad
836 t,	no more fuzzy haydo and higgo
837 t,	Still trying to put together my paranormal news bulletin for the show tomorrow. Not much of spooky interest going on this past week
838 t,	@TwinSpirits I hope you feel better soon too.   Do you know what's wrong?
839 t,	Checking out about this Cat on Twitter I keep hearing about.... Look Out Ashton, this Cat might just Beat You
840 t,	Sad day...attending a funeral this afternoon! R.I.P. Franklin! Thoughts and prayers for Mi Amiga RR
841 t,	@oneblackbear no fair! I just have stupid water
842 t,	Going to church at 8, cause my hair woke me up at 4. haha
843 t,	@MichelleDewbs damn i want a wispa now
844 t,	@agz21 omg i cant access that page. need premium account.
845 t,	@katie4taylor i certainly hope not.  are you having the same response as mine too? i checked it again and the result is still the same.
846 t,	@XxRochellexX Haha No problem! ;) All jobs are taken tho hun!  Its only for 3 months tho! But at least Ive got something to do now! x
847 t,	Man i wish i ate breakfast
848 t,	some one come sit and wait in AnE with me my mums gone to work im alone now  scared too my hand kills
849 t,	Dammit, went out to town and missed my mixing console being delivered  Gonna try to collect it later and get stuff setup. Still need a job
850 t,	gaah, finally when im not lazy and decide to upload photos my usb cord for my camera is gone...
851 t,	Seven days until I see my wife again.
852 t,	have to go shopping but don't like the budget I'm supposed to use. Not nearly enough to meet my wishes
853 t,	I wanna watch Gossip Girl season 2's finale badly.
854 t,	@freinhar And I can't get at all of Dollhouse from the UK
855 t,	i dont wanna study or clean
856 t,	my like offically stinks! i hate lit!!! quiet one this weekend.. to much shit to do. Btw, Ow hasnt txtd
857 t,	And of course I have to go in late because the mechanic shop at the dealer doesn't open up until 8.
858 t,	Today is going rapidly downhill. My head is killing me
859 t,	@ramielemalubay you didnt reply back  well ok ingat po keep safe always...
860 t,	haha yes. it made me sad
861 t,	Reading that meaningful lyrics thread has made me really weepy
862 t,	But i don't wan't to waste 80mins of my life talking to you
863 t,	Just passed a dead deer on the highway. Poor bambi
864 t,	@IFoughtTheFloor Wish I could  Check out that Empire quiz thing I just posted, I'm up to 35 and struggling now!
865 t,	ff# for @KCBOOKS @duckofalltrades @NTFFC @hopefulauthor @churchpunkmom all fun and engaging twitterers all for now, back to painkillers
866 t,	Want to get through my to do list so I can head down 4 more of #postdigital but its not getting any smaller
867 t,	@BlackPlastic granted. It's bad enough my iPhone has been banned from my wedding day
868 t,	Sitting at work wishing like hell I could talk to the love of my life!
869 t,	2 POINTS! 2 measly, fucking points was the final margin. If only that last kick had been a goal.
870 t,	So...apparently me being naked is wrong? Or do I just look THAT bad naked. Way to start my morning  gonna try to rest some more
871 t,	fell asleep revising r.e, woke up to find my laptop about an inch away from falling off my bed!
872 t,	@yaseminx3 noooo  fuck holland haha xD but the DC series are @ jetix, but we don't Hannah Montana here anymore! screw jetix :')
873 t,	lol at s.s tv welcome to short stack tv  were in bondi shooting sway sway baby, and were catchin bees ! LOL jelus of andy gttin kised
874 t,	is in pain and has to work all day... 8-5  http://plurk.com/p/vh0z1
875 t,	last day of school
876 t,	This years ann.dutch North Sea Jazz Festival;@fatbellybella,Qtip,Robin Thicke,Roy Hargrove,Herbie Hancock etc.I Need2go but so xpensive
877 t,	Sitting in my office inturn class really board and sad  I dont get to see my boyfriend till tomorrow
878 t,	has a poorle baby to look after
879 t,	Signing a lease &gt; Picking Up Wedding Dress &gt; Funeral
880 t,	am in mourning, my puppy dog of like 10+ years was put down this morn, and i only found out at like 930pm  i want one last cuddle :'(
881 t,	My A380 has lost two engines in two days of room rearranging
882 t,	@empiremagazine Damn you Empire! What's the blue flower in the top right? I'm at 35 now and tearing my hair out!
883 t,	No ipod today. Ughh
884 t,	Succesful school drop off. Last am at MBS an sad to say good bye to my transatlantic chums..  T n cake w1 might cheer me up now?
885 t,	Damn. I think, the flu caught me.   I hope, I'll be able to kill it before it gets really bad.
886 t,	Missing my wife
887 t,	It's been a sad seven days in the smooth jazz world... R.I.P. Wayman Tisdale, KKSF and now WNUA... I'm afraid to answer my phone today!
888 t,	@Jennymac22 Don't mind trains. Booked quite late though so on coach and can't read cos it makes me feel ill  Takes 5 hours instead of 2...
889 t,	@djaffe: very envious of your Terminator Slurpee. Something we'll never see here in Europe
890 t,	off to school, sad to say in 20 days i can't say: I'm off to school!!
891 t,	says matatapos na fated to love you.. weeee  http://plurk.com/p/vh137
892 t,	@JESSIMTV first dibs for tickets for Live with Lauren Show? They were all gone even b4 u announced it on Twitter!
893 t,	and i just found out that i can't have khris with me on my birthday
894 t,	has a stomachache
895 t,	Conficker vï¿½rus attack is continue
896 t,	ughh, having a reaction to the anaesthetic from having a filling at the dentist. Feeling poorly
897 t,	Another 12 hour review day
898 t,	 i wanted to sleep in...
899 t,	@XlucifersAngelX Thanks been a busy day and havent got around to any FF action
900 t,	Getting ready for work  I would say I'm happy it's Friday but I also have work tomorrow... #SaveEarl!
901 t,	@saseitz You just want the ability to turn people you don't like into weasels.  Feel better.
902 t,	Feeling like a big piece of shit..
903 t,	@DarlingNikiWyre Aww man.  You were playing video games to escape, and then I go and send you a message bringing you back.  Sorry
904 t,	Still cant get Jonas Bros tickets..dreading facing my niece later on ( I can see the tantrum now). Hope they put on another gig in Dublin
905 t,	morning world. I feel pretty good. I slept for 9 hours til 10:30pm, then another 5 or so til now. Boyf woke up with an upset tummy tho.
906 t,	The dog got into a RAID Outdoor Ant Spike this morning. Reseashing the harmful effects of Abamectin at the moment.
907 t,	Ugh..backache
908 t,	.@lindaknox Didn't start too well but slowly improving now (4 yo earache &amp; fever, 2 yo whiny &amp; not quite herself  )
909 t,	@laurenbabydoll i cannot beleive were being split up in forms
910 t,	I feel like I haven't had a normal nights rest in weeks... I'm sure that I have but I've been tired for like a month
911 t,	@Darksjokolade That makes me sad  Don't leave cause of 1 disagreement. Remember when another member was going through same thing &amp; stayed?
912 t,	@natalietran hey natalie how are ? can u reply back please lets start a convo im bored
913 t,	Starting to plan the great weekend with my honey...big choice, Tampa or Miami?!? We NEED a sitter for our furbaby!  i feel like a mom! lol
914 t,	Throat hurts
915 t,	Reading really bad reviews for T4.     Think I'll just cuddle up with T1&amp;2 and pretend 3&amp;4 never happened.
916 t,	Last day of school. I'm gonna miss everyone
917 t,	i want to go home get in bed and have a cuddle
918 t,	i always thought it was thursday todayy.. blahh its friday! which means in 2 days school starts again.
919 t,	@msmariab Yeah! After I got my Dior and sephora goodie bag, I went right back in. And was there passed 3! Where were youuu?
920 t,	Phewww stayed up all night to finish my floorplan x_x Time to get ready for school
921 t,	@chelseacriner Yay blond hair!  I had to dye my hair back brown because my water is SO bad/hard where I live and it turns it orange
922 t,	Moose Detail 9-2 last Day i am sad  Love the 315
923 t,	@katiebabs @Larissa_Ione I'm DREADING this three day weekend
924 t,	@savvysassymoms isn't that the truth.  A woman once said to me....&quot;The days are long, Honey... the years are short.&quot;
925 t,	10hrs sleep again. Still exhausted. Much as i love my job its bloody exhausting!  day 9/9 half done now!
926 t,	finished work before, forgot to tweet. was an exciting night, got congratulated on my chip efforts and got yelled at buy 2 men
927 t,	Is tired from traffic
928 t,	I cannot stand Windows, Lotus Notes or our IT department one moment longer. IT FAIL
929 t,	so scared and feeling sick. fuck! hope someone at HR help... wish it would be wendita or karen.
930 t,	"Godver:  http://twitpic.com/5or0s  Play	him off, Keyboard Cat.  http://bit.ly/15cPmm"
931 t,	In class with the brats
932 t,	@spader I hope my portrait of Condoleezza Rice isn't one of them.
933 t,	@vaughanburnand - just been reading about your old company: Shepherd Construction to restructure bringing job losses  http://bit.ly/podFV
934 t,	OMG owl city is in montana right now? I wonder if adam young knows i am only a few hundred km north of him.... How i wish i could see him
935 t,	Holy Crap! Who is this @MetaKongNewYork - you just SPAM'd me.  Not nice
936 t,	10th in line at the DMV and the doors haven't even been unlocked yet!  I will soon not be a new yorker!
937 t,	Is gonna take spanish finals soon
938 t,	Going on holiday (Greece) this sunday yeah but have the flu not fun
939 t,	waking up, listening to Adam Carolla, doing some entrepreneurial stuff. btw, tweetdeck crash, lost replies.  #buildyourbrand
940 t,	@Uk_joedan_fan aaah thats good I think I will ventureoutside today too...need to go bank and sort out parking ticket  haha EXCITING STUFF!
941 t,	@BrittGoosie the fuck?! You kidding me?! They're obviously dicks of a doctor then!
942 t,	ready to get rollin!! Kinda shitty seats tho!
943 t,	@StaceyH86 got cold  and just cant be botherd with meself tbh. what happend!?! i hate some peopleon twitter tbh. im off to the pub soon
944 t,	Ugh i can't reach behind the tv my boobs are to big... And the entire setup is to big for me to move
945 t,	Bad headache.
946 t,	this is literally the most horrible cold ever. i cant taste anything at all today and i cant breathe either
947 t,	back to Acme. it's a bit strange...not being tutored anymore
948 t,	@huggerfood seriously, was it not the BEST SANDWICH EVER!? did they make it with falafel?
949 t,	@backstreetboys interesting choice
950 t,	National Post newspaper editor wants to meet me after reading my video game review. I might get hired as a game journalist...Wish me luck
951 t,	&quot;Shadow&quot; Board: White and gray outline of a certain someone...  http://tinyurl.com/n4szsf
952 t,	@priyank_sharma  Being noble are we? Keep it up! Btw, am shifting to mathuradas mills this weekend.So catch u next week for lunch?
953 t,	@karlihenriquez don't i wish we could control them i would have happy dreams every night  have a good night
954 t,	@a4aspie i will totally promote your show too!! i'll probably be calling in to bug you guys from time to time  lol
955 t,	@DanaLedesma &quot;you're lie camilla ! that's not you ! that's kyle  i'm in front of joe believe it or not  he sad yeah yeah !! whats that?
956 t,	@sizzlemaker Isn't smart and sexy so cool?  Matter of fact, she still looks pretty good after all these years
957 t,	@mandysroka ahh that is awesome!! thanks so much for the help and donations   why can't you work out for a while? everything ok..
958 t,	God someone teach me how to use this!
959 t,	@loveforcecilia &quot; ha ha ha &quot; i dont get it? lolllll yess yess i am  maybe go shopping ;) you wont belive what he &quot;got&quot; from albertsons
960 t,	Good morning everyone! Time to get into reality. Today's gonna be a sunny day, I hope for everyone!
961 t,	God bless my ex-boss for makin my day!
962 t,	Nice jo-ba-ni shots! I'm excited to get my copy
963 t,	@Jintanut  You are a Sweetie lol
964 t,	@thuanh_xoxo hahaha ok you are included...I guess not single girls...all girls  lol
965 t,	@ABBIEsolutely cut it off and call me.  I misses you.
966 t,	r @lokeuei Wow Checkout the Zune HD hands on video!! http://ping.fm/Oxtru LOVE the UI  [yep, nice!]
967 t,	is eating chocolate
968 t,	Im sore... But in a good way.
969 t,	I was off today, but now I'm not.. I am a glutton for punishment! Oh well, 5's and 2's today, not all that bad LOL!!
970 t,	Let the weekend begin!
971 t,	@Ivryblak yeah well im glad to hear you have something great  especially these days
972 t,	@erikarose21 just bought it off amazon.
973 t,	wrapping Amanda's gift, Harley's helping!  its so late....bet I dont work out tomorrow morning
974 t,	is it legal for me to date an 18 year old high-school graduate who is amazingly hot and an amazing actor
975 t,	Yet another pixar movie that hits close to home
976 t,	@baggers *tildy arms*
977 t,	@saranessrulzs sure! can you follow me?  please.. if you're ok with it..
978 t,	 ok twitter world we r bacK online!!!!
979 t,	Fab tweeps 2 follow @peter811m @susiecheng @exit38 @FocalAxis @GeoffHampton
980 t,	@AlexBowman @marcvanderchijs   Agree - Maybe they're just mao bing!
981 t,	@lifeinthegalaxy hey you guys.  love seeing your smiling faces.  just wanted to say g'day and send you my love and Light   Zoe
982 t,	 boring.. wait! i will comment on my friend in FS frst! ;
983 t,	@faahz @djswivll thx 4 the laughs. I'm going to sleep. My head hurts &amp; my scan is butt crack early. Have fun @championphts
984 t,	@dumilewis awwwww. Very nice. Sistah Majora Carter needs an honorary degree, too!
985 t,	@HipNihilist Yeah, it's a hobby that sparks the interest of mostly females, obviously.
986 t,	@magui042 aww.. me too =( I've been 3 times but a fourth time wouldn't hurt  best place in the whole world.. ahahaha =D
987 t,	@dekadaye oh, okay. Hahahaha long title! Thank you
988 t,	@DameElizabeth I like Violet Eyes...don't think it's concieted
989 t,	thank you honey for buying me Blacks
990 t,	.@aloveletteraway oh thanks!! you like Shelly's bling?  there's unlimited bling in OZ!!
991 t,	I have officially popped @Stacey608's &quot;Forgetting Sarah Marshall&quot; cherry!!!!! Considering the movie is now over.
992 t,	Im going going back back to Cali Cali  (via @bchchik13) Amen , sister, you've been reunited with your common sense. #NSAC
993 t,	@FrankMaresca Well I can't call her a &quot;lady&quot; cause the bitch don't know how to act like one! Sorry
994 t,	@iamkhayyam Or may be YES!
995 t,	wholy shit that was a good practice! yeah im gonna have some bruises on my ass, arm, and leg tomorrow...its all good. I luv derby!
996 t,	@gemmmmy_x -hugs- have fun today  if you get any more credit and/or are bored you know where I am!!! Xx
997 t,	woo hoo!! comes the weekend, as I said before the saturday I am going to see Hannah Montana The Movie, plus I go shopping ï¿½ï¿½to buy CD's!!
998 t,	Enjoying the convenience &amp; fun of twittering through phone
999 t,	it is LATE &amp; i do have a &quot;real&quot; job to be at in the AM so i should get some sleep.  keep on retweeting please! thank you for the support!
1000 t,	hmm, i feel fairly accomplished. should i do more work? i think i'll go sleep now. nite nite
1001 t,	@z357x I'd have to agree, rofl. You aren't lame
1002 t,	putting up music camp snapshots on myspace
1003 t,	@EmandSamMac hey i thought we were meant to stop you from buying stuff so u can save for Italia!
1004 t,	Omg, customs/imm. was confusing when awake/alert. Tired? But we're done and back on bus to Wanchai (HK neighborhood). Whew, almost done.
1005 t,	Playing Rhythm Heaven. This game is so addictive. I need another addictive game with catchy music like this. Thanks TSUNKU!
1006 t,	@RyanSeacrest Night, Ryan
1007 t,	ill do my follow fridays in the morning...right now its all about moi!....well at least for the next 24 hrs
1008 t,	And one more tweet to make the count 1900!
1009 t,	Watchin a jack rabbit play in the grass. He/she/it is so cute with its pointed ears.
1010 t,	i will resume my weight losing excercises next week! hahahahaha! i hope i can
1011 t,	is at peace.
1012 t,	@thejose actually I'm just hella bored and its a Friday so I'm totally off work mode   Let me know when you check your schedule.
1013 t,	.@MoocherGirl oh that's even better yo!!!
1014 t,	just click the 'show' thing
1015 t,	Get paid to use Twitter  http://atomurl.org/1884/
1016 t,	@dewiyulianti + the adrenaline rush while trying to get it..
1017 t,	Get paid to use Twitter  http://atomurl.org/1884/
1018 t,	@sassyword @MATT_369 You're both very welcome
1019 t,	Get paid to use Twitter  http://atomurl.org/1884/
1020 t,	I just wrote my first beading article! Let me know what you think  http://bit.ly/J3jB3
1021 t,	@paulmason10538 Well you know how it is, easier said than done, I never get it right but keep practicing ha ha
1022 t,	@Joddles ty  30 came way too quick
1023 t,	@My3Daughters finally took my own advice for the day and met the infamous Aron...ill tell you all about it, off the record of course,
1024 t,	Get paid to use Twitter  http://atomurl.org/1884/
1025 t,	@lokeuei Very nice UI indeed
1026 t,	Get paid to use Twitter  http://atomurl.org/1884/
1027 t,	@Sheryl02 quick go! i can certify ur stuff for u.
1028 t,	Goodnight  Enjoy this from my favorite movie~ Love to all,Arlyn ? http://blip.fm/~78pxu
1029 t,	Is off 2 c Danny Bhoy with his beautiful princess
1030 t,	@UrbanEyeCandy yea i will wen i get to pc
1031 t,	@Milonare Hmmm, that's a tough choice, I vote LococoShale, has a certain Shakaism to it
1032 t,	hahahaha  i dont like that shot! http://twitgoo.com/c1sm
1033 t,	playing some demi and taylor songs on my guitar. jammin' with my sister. i love playing &quot;don't forget&quot; &amp; &quot;forever and always&quot;.
1034 t,	@PublicityCity that was somewhat amusing. Though probably not so much for you.
1035 t,	@amienguyen haha sweet  i passed by central park today and saw so many vballers !! I'M SOOO STOKED !!! =D
1036 t,	FINALLY FOUND CALYPSO.  Guy working proceeded to attempt to coerce me into buying cigs then threw my receipt across the store. Bedtime.
1037 t,	@MRJELLYBEANZ  so why i got the FF props? Just curious  :
1038 t,	@brittahnayy 5 special and 6
1039 t,	look at me i'm using twitter to bitch about being bored!
1040 t,	@sherrymain I caught a glimpse of the now famous @ranjun_chauhan
1041 t,	@sarahprout Oh, how awesome!  I went to Apollo Bay as a kid and loved it. Are you stopping anywhere along the way? Hope you have fun!
1042 t,	just got home
1043 t,	closet reorganize...laundry...unpacking...are we almost done yet?
1044 t,	is there a doctor in the house?  we made it through to graduation. awaiting the official transcript though!
1045 t,	@katdunbar - I see you use this about as much as FB  Hope you are doing OK!
1046 t,	@kinkyb24 I didn't see ur tweet until now. Sorry  I love u
1047 t,	HellA excited to chill with @davidhastopee @crucifixxus @jjaeng and @heckbeck.
1048 t,	@MissKellyO awe! ur mom rocks! tell her twitter love is free!
1049 t,	Okaaay. Goodthing I went online. I'm being nice so I won't..
1050 t,	i want to slowdance with David Archuleta by the ocean sands at night with the stars peeking at us...
1051 t,	Morning all!! Hope we all doing great today  And that we all voting for Adam and Nicky
1052 t,	@DaisySelene lol. its okay. it was ur honest mistake.
1053 t,	@mykimmykim He did use some of your questions!! He credited people tonight. Trivia was good.  Alice20 won, ofc. Edward got 3rd place.
1054 t,	Do you use a Great Twitter #Branding Name? Well... @eMarketingCoach sure does - ArticlesBin Featured Follower of the day
1055 t,	@opposable_thumb Yeah, just a bit surreal!
1056 t,	... first it was me and jay havin dinner @ 4 peaks but what a surprise! shane andrea and gang showed up
1057 t,	Meraki blankets San Fran with free wi-fi  http://ow.ly/9nWR this is excellent, if not old news
1058 t,	Today is the day
1059 t,	im going to write a book. see im not a dumbass fools.
1060 t,	@Marion_Archie nope. hindi ako member ng APTC e.. btw, I'm gonna add you on friendster ha
1061 t,	Tomorrow is going to be a wonderful day...good nite everyone
1062 t,	@jessepriest well duh! i took it out when the guys moved those ridiculous machines in, no room for the three of em!
1063 t,	@acaiberry8 YOU'RE SO CREEPY WITH THIS AUNTY BONNIE INFORMATION. but i like it.
1064 t,	@ChrisTheJeweler Hah! I'd be more than happy to help, but I don't think that'd be possible, Chris.  Good luck gettin' it back online.
1065 t,	@WldCard Cool. Saw the message. Sent you a reply. You will get the free DLC!
1066 t,	sigh.. I'm poop'd~ x0 its gonna be a very long but hopefully exciting weekend!
1067 t,	@hellotam oh ha ha. I know what that is like! but trust me that could fade  amongst the flurry of frappucino season.
1068 t,	@suddentwilight @sanjukta @tarushikha  is it todays gals talk topic- what are you wearing  @sharanya @twilightfairy @netra
1069 t,	PET SOCiETY!  at facebook. im lovin' it.
1070 t,	taking a bath, packing for another relaxing weekend near the ocean
1071 t,	@joedecker *puts arms out in front of her in best zzombie mode* must. Have. Carrot. Tofu. Must. Die.
1072 t,	@shrdlu going through people profiles and catching up and now adding &quot;voluntold&quot; to my vocabulary.
1073 t,	@jonnycraig4L release 'em
1074 t,	Now playing: jagged edge- what you tryin do awww bedtime music
1075 t,	@angelayee  kool, now walk away do not put it back in there.
1076 t,	just smiled coz of her tweeet!!!
1077 t,	Today seems like a great day to get married! Ernst and Judith good luck, I'll be there to celebrate this day!
1078 t,	Oh yeah happy bday stevie
1079 t,	@irygel c?already the solution is paying dividens!...not sayin u aint a 'sharp shooter',mind
1080 t,	Long night with babe
1081 t,	I'm laying down chewing bubble gum watching Dude Wheres My Car haha
1082 t,	@TashVIModel Aiight here i come  Happy as can be lets get it started lol
1083 t,	Ito hasn't aged. &gt; @MarilynM: @raymondroker re Ito...kinda hard to believe all that mess was so long ago now...  does he look the same?
1084 t,	@genehiga Great shot of you (and Bogie
1085 t,	@itsangelcarter how are you sweety?  glad to hear from you!!
1086 t,	I'm on Channel 6 from 9-10am tomorrow talking about T Swift/playing music. TiVo it
1087 t,	@nora_AT OMG! no way!! skins  im so happy they have a twitter!!
1088 t,	@kconWHOA you know it
1089 t,	@iListPhil invite please?
1090 t,	Dude, ima sleep. Good night tweet, and people who are online right now  nighty night. Its so fun just spamming peoples phone. Haha sor ...
1091 t,	@glitzerdoll i love we the kings
1092 t,	Party Tonight  @marshymelly who's coming?
1093 t,	london agan  .... maybe we should move places not people
1094 t,	@burbankhays that's really cute and sweet to me for some reason
1095 t,	yay my emo called hes such a dork
1096 t,	@ScarlettAlyssa aw thank you
1097 t,	goodnight twitter... we shall meet again soon
1098 t,	@lilyroseallen i finished my remix of &quot;The Fear&quot; feel free to leave your thoughts on it  http://bit.ly/G220f
1099 t,	I'm seriously not liking this project! haha the only person who will read this is my lefthand bud! lol she is awesome though
1100 t,	@rienne19 me too! Are we losers or what? They leave for a few days and we fall apart
1101 t,	@ceggs its great up here  yippee at last
1102 t,	mann, gotta do homework and study! at least tomorrow is friday
1103 t,	Is so veryyy happyy! ;DD I love you.
1104 t,	Photo: heartsonsleeve: I know that exact part     ? ? ? yay new moon! ..and all the books! http://tumblr.com/xgy1wah0r
1105 t,	Don't forget your sunscreen, bring a hat, and canned food -- we're not telling you again! PLEASE RETWEET
1106 t,	@presentationzen What a great book! I wrote my college thesis partly thanks to The book of Tea. The other part was to tea itself
1107 t,	@SirReigns Thanks for that shout! #ff Hope all's well with you
1108 t,	@therealtiffany http://twitpic.com/66191 - Beaitiful
1109 t,	I lovelovelove The Higher! @duugfresh @ReggieBoo @thehigherface @thehigherseth &amp; Andrew are amazing
1110 t,	So Dland was freaking great.  It was such a great day
1111 t,	I get to redesign mai room omgz!! Maroon + black plus dual screen MBP setup + Ikea study tables here I come!
1112 t,	@LittleBurger still don't know your identity but that doesn't mean you shouldn't have a happy birthday
1113 t,	@softtouchme everything is okay today?
1114 t,	@rhodri Hi, your bassoon clip was great! Really like it!
1115 t,	Welcome To This World Bandit Lee Way. Omg Im Soo Happy Atm.
1116 t,	@deb1907 Hey! Super Junior's Videoscope was moved to June 6th to include our interview w/ the group and their message for the fans
1117 t,	@meiko911 poor thing! if i ever win a bazillion dollars in the lottery, i'm buyin you your own Gulfstream   Hope you get there soon girl
1118 t,	tweet 1212 goes to @paolagarin  cuz she's nutz but still awesome  ly dude
1119 t,	@harpydora Ah. I'm at a party in Alabama with good friends. Good times
1120 t,	@LotFP Heh... Glad it had a good start.
1121 t,	I love Britney Spears!!  can't get her song out of my head!
1122 t,	@TheBigKlosowski Enjoy the family time - take some wonderfully memorable pics
1123 t,	I can't get enough of Danny Gokey's version of &quot;What Hurts the Most&quot; AMAZING!
1124 t,	looking forward to do NOTHINGGG tomorrow
1125 t,	fantasmically fun day today. woot! bed tiemz now.
1126 t,	@TheMightyFoz Sure, no hurry
1127 t,	@TrueXena yeah probably.  am skypin' gb so can add ya when ya get home
1128 t,	@tburritt Dynastyland is good. Great sound+effortless octaves in the low register+aluminum resonators that are oh so easy on my back!
1129 t,	@remzology Funny u say thatï¿½ï¿½ it was just y'day I was telling someone that I'm nt a code monkey. Only reason I code is to exec. my ideas
1130 t,	It's the message in the song that make u rock so much.
1131 t,	@kalgrl hang in there, it's a long weekend
1132 t,	@l3wish That's good. It's better be!
1133 t,	Goodnight   ? http://blip.fm/~78q19
1134 t,	@petteflet lol you are right. i have mixed you both up. Germany is great too
1135 t,	@iamdoyle good thanks  back home now obviously so just getting back to life here hehe
1136 t,	@therealTiffany It's in West Hollywood on Santa Monica Blvd! I'm totally in for a night of shakes if you are  yes??
1137 t,	In the batangas with @ericapelaez @kcnics mariel, elle, bettina  watching filming in moms office )
1138 t,	@mileycyrus I'm having a very intense surgery on Monday.... Could you say a prayer for me??? Thanks Miley
1139 t,	can't wait to see paramore sunday!! i just finished the front of my shirt. i am stoked, to say the least!!
1140 t,	Just some thoughts from @roymckenzie at #modestotweetup  http://bit.ly/38WtK
1141 t,	Didi singing Dance Pe Chance.. Ranjini Haridas is dancing with the kids.. It's all good to see !!
1142 t,	@kristenstewart9 the pictures from Italy look great hope you had fun while shotting the movie  and good luck on the MTVmovieawards
1143 t,	@bape228 me too man
1144 t,	time 2 sleep  2morrow im taking cake 2 skool  Hope it goes ok but just in case I'm taking a bodyguard
1145 t,	Great show, fabulous friends, garlicy breath, and a full tummy makes me a happy gal!
